NLOC,CCN,TOKEN,PARAM,LENGTH,FULL_LOCATION,FILE,FUNCTION_NAME,FUNCTION_HEADER,B_LINE,E_LINE
21,6,149,1,22,"sys_pipe@423-444@.\sysfile.c",".\sysfile.c","sys_pipe","sys_pipe( void)",423,444
4,1,11,1,4,"sys_fork@11-14@.\sysproc.c",".\sysproc.c","sys_fork","sys_fork( void)",11,14
5,1,13,1,5,"sys_exit@17-21@.\sysproc.c",".\sysproc.c","sys_exit","sys_exit( void)",17,21
4,1,11,1,4,"sys_wait@24-27@.\sysproc.c",".\sysproc.c","sys_wait","sys_wait( void)",24,27
7,2,31,1,8,"sys_kill@30-37@.\sysproc.c",".\sysproc.c","sys_kill","sys_kill( void)",30,37
4,1,13,1,4,"sys_getpid@40-43@.\sysproc.c",".\sysproc.c","sys_getpid","sys_getpid( void)",40,43
11,3,52,1,12,"sys_sbrk@46-57@.\sysproc.c",".\sysproc.c","sys_sbrk","sys_sbrk( void)",46,57
18,4,86,1,19,"sys_sleep@60-78@.\sysproc.c",".\sysproc.c","sys_sleep","sys_sleep( void)",60,78
8,1,28,1,9,"sys_uptime@83-91@.\sysproc.c",".\sysproc.c","sys_uptime","sys_uptime( void)",83,91
8,2,74,1,10,"tvinit@18-27@.\trap.c",".\trap.c","tvinit","tvinit( void)",18,27
4,1,16,1,4,"idtinit@30-33@.\trap.c",".\trap.c","idtinit","idtinit( void)",30,33
61,23,366,1,76,"trap@37-112@.\trap.c",".\trap.c","trap","trap( struct trapframe * tf)",37,112
19,3,131,1,30,"uartinit@20-49@.\uart.c",".\uart.c","uartinit","uartinit( void)",20,49
9,4,56,1,10,"uartputc@52-61@.\uart.c",".\uart.c","uartputc","uartputc( int c)",52,61
8,3,41,1,8,"uartgetc@64-71@.\uart.c",".\uart.c","uartgetc","uartgetc( void)",64,71
4,1,11,1,4,"uartintr@74-77@.\uart.c",".\uart.c","uartintr","uartintr( void)",74,77
8,2,39,2,9,"strcpy@8-16@.\ulib.c",".\ulib.c","strcpy","strcpy( char * s , const char * t)",8,16
6,3,44,2,6,"strcmp@19-24@.\ulib.c",".\ulib.c","strcmp","strcmp( const char * p , const char * q)",19,24
7,2,30,1,8,"strlen@27-34@.\ulib.c",".\ulib.c","strlen","strlen( const char * s)",27,34
5,1,26,3,5,"memset@37-41@.\ulib.c",".\ulib.c","memset","memset( void * dst , int c , uint n)",37,41
7,3,38,2,7,"strchr@44-50@.\ulib.c",".\ulib.c","strchr","strchr( const char * s , char c)",44,50
15,5,84,2,16,"gets@53-68@.\ulib.c",".\ulib.c","gets","gets( char * buf , int max)",53,68
11,2,56,2,12,"stat@71-82@.\ulib.c",".\ulib.c","stat","stat( const char * n , struct stat * st)",71,82
8,3,43,1,9,"atoi@85-93@.\ulib.c",".\ulib.c","atoi","atoi( const char * s)",85,93
10,2,51,3,11,"memmove@96-106@.\ulib.c",".\ulib.c","memmove","memmove( void * vdst , const void * vsrc , int n)",96,106
19,8,194,1,20,"free@25-44@.\umalloc.c",".\umalloc.c","free","free( void * ap)",25,44
14,3,83,1,15,"morecore@47-61@.\umalloc.c",".\umalloc.c","morecore","morecore( uint nu)",47,61
26,7,193,1,27,"malloc@64-90@.\umalloc.c",".\umalloc.c","malloc","malloc( uint nbytes)",64,90
21,5,108,1,22,"iputtest@18-39@.\usertests.c",".\usertests.c","iputtest","iputtest( void)",18,39
27,6,130,1,29,"exitiputtest@43-71@.\usertests.c",".\usertests.c","exitiputtest","exitiputtest( void)",43,71
29,6,142,1,30,"openiputtest@85-114@.\usertests.c",".\usertests.c","openiputtest","openiputtest( void)",85,114
17,3,84,1,18,"opentest@119-136@.\usertests.c",".\usertests.c","opentest","opentest( void)",119,136
45,8,254,1,47,"writetest@139-185@.\usertests.c",".\usertests.c","writetest","writetest( void)",139,185
49,11,294,1,55,"writetest1@188-242@.\usertests.c",".\usertests.c","writetest1","writetest1( void)",188,242
19,3,122,1,21,"createtest@245-265@.\usertests.c",".\usertests.c","createtest","createtest( void)",245,265
21,5,108,1,25,"dirtest@267-291@.\usertests.c",".\usertests.c","dirtest","dirtest( void)",267,291
8,2,37,1,8,"exectest@294-301@.\usertests.c",".\usertests.c","exectest","exectest( void)",294,301
49,12,315,1,50,"pipe1@306-355@.\usertests.c",".\usertests.c","pipe1","pipe1( void)",306,355
39,9,220,1,43,"preempt@359-401@.\usertests.c",".\usertests.c","preempt","preempt( void)",359,401
20,5,88,1,21,"exitwait@405-425@.\usertests.c",".\usertests.c","exitwait","exitwait( void)",405,425
30,5,157,1,31,"mem@428-458@.\usertests.c",".\usertests.c","mem","mem( void)",428,458
47,13,297,1,49,"sharedfd@465-513@.\usertests.c",".\usertests.c","sharedfd","sharedfd( void)",465,513
55,13,359,1,63,"fourfiles@518-580@.\usertests.c",".\usertests.c","fourfiles","fourfiles( void)",518,580
63,21,444,1,70,"createdelete@584-653@.\usertests.c",".\usertests.c","createdelete","createdelete( void)",584,653
39,7,231,1,43,"unlinkread@657-699@.\usertests.c",".\usertests.c","unlinkread","unlinkread( void)",657,699
50,10,286,1,60,"linktest@702-761@.\usertests.c",".\usertests.c","linktest","linktest( void)",702,761
84,23,538,1,89,"concreate@765-853@.\usertests.c",".\usertests.c","concreate","concreate( void)",765,853
27,7,154,0,32,"linkunlink@858-889@.\usertests.c",".\usertests.c","linkunlink","linkunlink()",858,889
35,6,230,1,40,"bigdir@893-932@.\usertests.c",".\usertests.c","bigdir","bigdir( void)",893,932
166,39,961,1,181,"subdir@935-1115@.\usertests.c",".\usertests.c","subdir","subdir( void)",935,1115
24,5,141,1,27,"bigwrite@1119-1145@.\usertests.c",".\usertests.c","bigwrite","bigwrite( void)",1119,1145
50,12,288,1,54,"bigfile@1148-1201@.\usertests.c",".\usertests.c","bigfile","bigfile( void)",1148,1201
